#{"t_start": 1717156320.7890003, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-41.625489,2001,531.869227
-33.649456,2001,534.317884
-39.161071,2001,536.758728
-37.65494,2001,539.214255
-33.628708,2001,541.683331
-36.624984,2001,544.152945
-41.61771,2001,546.611245
-39.596334,2001,549.080073
-39.129982,2001,551.521046
-37.608792,2001,554.013805
-38.116742,2001,556.416861
-39.664908,2001,558.844114
-35.630609,2001,561.312707
-43.140244,2001,563.76141
-38.593251,2001,566.247341
-37.636814,2001,568.09038
-38.627062,2001,570.49456
-39.660555,2001,572.914762
-34.627036,2001,575.433412
-35.152413,2001,577.848561
-37.617139,2001,580.316894
-37.167216,2001,582.779728
-36.615635,2001,585.220892
-35.113905,2001,587.638415
-34.162345,2001,590.05911
-37.134826,2001,592.480644
-38.65936,2001,594.944436
-37.654588,2001,597.358861
-38.13166,2001,599.801344
-38.582037,2001,603.028408
-38.582037,2001,604.722862
-38.582037,2001,606.408303
-38.582037,2001,608.102128
-38.582037,2001,609.793485
-39.649062,2001,612.2729
-36.146733,2001,614.756134
-37.652438,2001,617.195333
-36.639274,2001,619.6349
-34.142134,2001,622.092123
-41.684044,2001,624.523007
-42.163503,2001,626.965669
-38.149027,2001,628.803376
-44.161549,2001,631.25588
-39.133792,2001,633.684459
-37.632924,2001,636.155244
-37.650442,2001,638.589873
-37.650111,2001,641.006815
-38.152717,2001,643.430524
-37.632791,2001,645.910935
-35.119544,2001,648.341522
-37.167036,2001,650.764229
-38.089645,2001,653.15837
-39.165421,2001,655.593133
-34.626239,2001,658.026656
-36.613731,2001,660.451216
-39.155273,2001,662.924978
-36.611142,2001,665.33397
-36.605369,2001,667.765773
-33.105904,2001,670.167777
-35.628915,2001,672.569168
-38.103138,2001,674.958057
-38.094731,2001,677.402682
-37.123953,2001,679.859206
-35.131366,2001,682.254617
-36.624953,2001,684.660005
-36.125764,2001,687.098687
-35.595605,2001,689.727002
-35.595605,2001,691.393165
-35.595605,2001,693.055715
-35.595605,2001,694.725294
-35.595605,2001,696.393993
-42.202784,2001,698.868801
-39.117102,2001,701.332759
-34.653779,2001,703.756363
-33.143032,2001,706.135809
